iter	RMSE
0	0.4649371547
1	0.4648169337
2	0.4646554132
3	0.4646504129
4	0.4644429444
5	0.4643456014
6	0.4641721658
7	0.4639418399
8	0.4638365266
9	0.4637599161
10	0.463747217
11	0.4635430201
12	0.4634679431
13	0.4631985865
14	0.4630447117
15	0.4629749005
16	0.4628329316
17	0.4627382144
18	0.462628189
19	0.4624437955
20	0.4623526948
21	0.4622018167
22	0.4621274202
23	0.4620891238
24	0.4620205499
25	0.461949912
26	0.461879749
27	0.4618565026
28	0.4618295813
29	0.4616175962
30	0.4613634722
31	0.461318226
32	0.4612348779
33	0.461167473
34	0.4611377973
35	0.4609759324
36	0.4608567073
37	0.4608541582
38	0.4607788592
39	0.4607607927
40	0.4606859403
41	0.4605998607
42	0.4605602972
43	0.4605403461
44	0.4604381243
45	0.4601885254
46	0.4601008447
47	0.4598749779
48	0.4598558
49	0.4597144999
50	0.4597111076
51	0.4596660841
52	0.4596380332
53	0.4595935155
54	0.4595428558
55	0.4593961328
56	0.4593929088
57	0.4593621479
58	0.4592681354
59	0.4590963653
60	0.4590316586
61	0.4589839599
62	0.4588430011
63	0.4588110743
64	0.4587769498
65	0.4587739122
66	0.4587639698
67	0.4586396233
68	0.4585560369
69	0.4585530661
70	0.4584991406
71	0.4583958143
72	0.458392904
73	0.458361895
74	0.4583105604
75	0.4581594453
76	0.4581153845
77	0.4581131156
78	0.4581122529
79	0.4580166406
80	0.4578431378
81	0.4578214171
82	0.457786406
83	0.4576497914
84	0.4576475897
85	0.4576094919
86	0.4575271976
87	0.4575066019
88	0.4574900179
89	0.4573549153
90	0.4573438371
91	0.4572605851
92	0.4572364358
93	0.4572338879
94	0.4571668178
95	0.4570163698
96	0.4569875775
97	0.4569371757
98	0.4569168158
99	0.4568977389
