iter	Passed	Remaining
0	0	75
1	1	70
2	1	60
3	2	54
4	2	52
5	3	50
6	3	49
7	4	49
8	4	48
9	5	47
10	5	45
11	6	44
12	6	43
13	6	42
14	7	41
15	7	40
16	8	39
17	8	39
18	8	38
19	9	37
20	9	37
21	10	37
22	11	36
23	11	36
24	12	36
25	12	36
26	13	35
27	13	35
28	14	34
29	14	34
30	15	33
31	15	33
32	15	32
33	16	31
34	16	31
35	17	30
36	17	30
37	18	29
38	18	28
39	18	28
40	19	27
41	19	26
42	19	26
43	20	25
44	20	25
45	21	24
46	21	24
47	21	23
48	22	23
49	22	22
50	23	22
51	23	21
52	24	21
53	24	20
54	25	20
55	25	20
56	25	19
57	26	18
58	26	18
59	27	18
60	27	17
61	28	17
62	28	16
63	28	16
64	29	15
65	29	15
66	29	14
67	30	14
68	30	13
69	31	13
70	31	12
71	32	12
72	32	11
73	32	11
74	33	11
75	33	10
76	34	10
77	34	9
78	34	9
79	35	8
80	35	8
81	35	7
82	36	7
83	36	7
84	37	6
85	37	6
86	38	5
87	38	5
88	38	4
89	39	4
90	39	3
91	39	3
92	40	3
93	40	2
94	41	2
95	41	1
96	41	1
97	42	0
98	42	0
99	42	0
